vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,distance,fuel_consumed,mileage,raw_fuel_consumed,id,odo_distance_km,load_estimation,engine_hours,active_driver,driver_ids
566304909352275968,1789172135000-642689989225816064-566304909352275968,1789172135000,1789195809000,1,286.905,76.118,3.769213589426942,642689989225816064,1789172135000,566304909352275968,MP09AF2781,23674000,1789195809000,200.952808608612,286.905,76.11848810932273,3.769189419368681,76.11848810932273,1789172135000-642689989225816064-566304909352275968,,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789195915156}",6.505833333336341,,
566306901520842752,1789210108000-642689989225816064-566306901520842752,1789210108000,1789231123000,1,231.123,52.71,4.3848036425725665,642689989225816064,1789210108000,566306901520842752,MP09AF2718,21015000,1789231123000,139.15389330995217,231.123,52.70980807195157,4.384819608610703,45.13575575567025,1789210108000-642689989225816064-566306901520842752,,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789231286645}",3.611144166666678,797137039710486532,['1518643558708412416']
739902048702562304,1789241177000-642689989225816064-739902048702562304,1789241177000,1789258228000,2,230.875,52.753,4.3765283490986295,642689989225816064,1789241177000,739902048702562304,MP13P9072,17051000,1789258228000,147.54044499282742,228.868,55.88653219425281,4.095226363383771,48.79443698342654,1789241177000-642689989225816064-739902048702562304,232.625,"{'confidence': 69.6, 'count': 11, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 18263.673426870264, 'std': 3679.3462625506713, 'timestamp': 1789258241737}",4.75,,
589016215549128704,1789211958000-642689989225816064-589016215549128704,1789211958000,1789231903000,1,223.028,50.536,4.413249960424252,642689989225816064,1789211958000,589016215549128704,MP09BP1580,19945000,1789231903000,133.41565235939566,223.028,50.53623195431654,4.413229704217196,43.92016329049355,1789211958000-642689989225816064-589016215549128704,,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789232046840}",3.370388888888899,,
589016215549128704,1789178193000-642689989225816064-589016215549128704,1789178193000,1789198261000,1,222.048,48.59,4.569829182959457,642689989225816064,1789178193000,589016215549128704,MP09BP1580,20068000,1789198261000,128.27813192851352,222.048,48.590201488073305,4.569810233334858,40.042654325501964,1789178193000-642689989225816064-589016215549128704,,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789198300330}",3.437458333333343,,
589017381083291648,1789187377000-642689989225816064-589017381083291648,1789187377000,1789204281000,1,208.761,46.248,4.513946549039959,642689989225816064,1789187377000,589017381083291648,MP09BP1514,16904000,1789204281000,122.09541303346234,208.761,46.248262512675126,4.5139209271437055,39.08705945833334,1789187377000-642689989225816064-589017381083291648,,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789204560173}",2.7765625000000074,,
1326601811460620288,1789211952000-642689989225816064-1326601811460620288,1789211952000,1789231349000,1,208.035,81.108,2.5649134487350196,642689989225816064,1789211952000,1326601811460620288,MP09AE9054,19397000,1789231349000,214.12506731264642,208.035,81.1079800426691,2.564914079854503,81.1079800426691,1789211952000-642689989225816064-1326601811460620288,,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789231354483}",5.350833333332048,,
566306901520842752,1789179374000-642689989225816064-566306901520842752,1789179374000,1789196099000,1,200.503,50.826,3.9448904104198634,642689989225816064,1789179374000,566306901520842752,MP09AF2718,16725000,1789196099000,134.17998891953596,200.503,50.825753378612106,3.944909552179374,45.779805565430514,1789179374000-642689989225816064-566306901520842752,,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789196161302}",2.824541666666675,797137039710486532,['1518643558708412416']
1326601941924446208,1789220452000-642689989225816064-1326601941924446208,1789220452000,1789237347000,1,199.288,59.311,3.360051255247762,642689989225816064,1789220452000,1326601941924446208,MP09BN3854,16895000,1789237347000,156.58196702537973,199.288,59.31135114597716,3.3600313624539115,59.31135114597716,1789220452000-642689989225816064-1326601941924446208,196.50999999999476,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789237358003}",4.637499999999818,,
1531026470644744192,1789214045000-642689989225816064-1531026470644744192,1789214045000,1789232491000,1,199.288,71.861,2.7732427881604766,642689989225816064,1789214045000,1531026470644744192,MP09BM0987,18446000,1789232491000,189.71343542752587,199.288,71.86114978315373,2.773237007776331,71.86114978315373,1789214045000-642689989225816064-1531026470644744192,196.36999999999534,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789232497087}",5.075000000000273,,
