vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,distance,engine_hours,active_driver,driver_ids
1533593777682251776,1784730256000-642689989225816064-1533593777682251776,1784730256000,1784747719000,1,266.47,61.718,4.317541073916848,642689989225816064,1784730256000,1533593777682251776,MP09BL8707,17463000,1784747719000,162.9363698577527,61.718321915815416,4.317518554108917,198.90999999998894,61.71832191581541,1784730256000-642689989225816064-1533593777682251776,266.47,4.801944444444416,,
1531014613364113408,1784693852000-642689989225816064-1531014613364113408,1784693852000,1784708149000,1,245.48,56.723,4.327697759286356,642689989225816064,1784693852000,1531014613364113408,MP09BM0929,14297000,1784708149000,149.7475050234903,56.72253978162511,4.327732872065817,192.51999999998952,56.72253978162511,1784693852000-642689989225816064-1531014613364113408,245.48,3.93444444444458,,
739902048702562304,1784747245000-642689989225816064-739902048702562304,1784747245000,1784765535000,1,229.781,52.69,4.360998291895996,642689989225816064,1784747245000,739902048702562304,MP13P9072,18290000,1784765535000,139.10273820560315,52.69043113848604,4.360962608107487,233.125,52.69043113848604,1784747245000-642689989225816064-739902048702562304,229.781,1.8499999999985448,,
1531014613364113408,1784731791000-642689989225816064-1531014613364113408,1784731791000,1784746482000,1,228.752,48.864,4.681401440733465,642689989225816064,1784731791000,1531014613364113408,MP09BM0929,14691000,1784746482000,129.00069514731288,48.86389967701245,4.681411052168114,,48.86389967701245,1784731791000-642689989225816064-1531014613364113408,228.752,4.043611111110749,,
1326602160833560576,1784681293000-642689989225816064-1326602160833560576,1784681293000,1784696283000,1,214.537,68.427,3.1352682420681894,642689989225816064,1784681293000,1326602160833560576,MP09DT3645,14990000,1784696283000,180.6461852321013,68.42658531518988,3.135287242696522,,68.42658531518988,1784681293000-642689989225816064-1326602160833560576,214.537,4.127222222221462,,
1557834733679804416,1784724608000-642689989225816064-1557834733679804416,1784724608000,1784742945000,1,200.625,70.522,2.8448569240804287,642689989225816064,1784724608000,1557834733679804416,MP09BQ8967,18337000,1784742945000,186.17818237611502,70.52203877883144,2.8448553597435344,197.9449999999997,70.52203877883144,1784724608000-642689989225816064-1557834733679804416,200.625,5.038055555555616,,
1326601811460620288,1784734389000-642689989225816064-1326601811460620288,1784734389000,1784750053000,1,200.501,60.59,3.3091434230070966,642689989225816064,1784734389000,1326601811460620288,MP09AE9054,15664000,1784750053000,159.95673359141003,60.58967181492804,3.3091613470433208,198.44000000000233,60.58967181492804,1784734389000-642689989225816064-1326601811460620288,200.501,4.310277777778538,,
1326603043004743680,1784726426000-642689989225816064-1326603043004743680,1784726426000,1784743547000,1,200.32,63.42,3.158625039419741,642689989225816064,1784726426000,1326603043004743680,MP09AE6372,17121000,1784743547000,167.4286480589565,63.41994244657443,3.158627905863388,198.95999999996275,63.41994244657443,1784726426000-642689989225816064-1326603043004743680,200.32,4.7069444444441615,,
1326601941924446208,1784723066000-642689989225816064-1326601941924446208,1784723066000,1784741964000,1,200.217,55.688,3.595334722022698,642689989225816064,1784723066000,1326601941924446208,MP09BN3854,18898000,1784741964000,147.01736119533598,55.68839439217272,3.595309259412613,198.4649999999965,55.68839439217272,1784723066000-642689989225816064-1326601941924446208,200.217,5.197222222222081,,
1537194706461523968,1784732650000-642689989225816064-1537194706461523968,1784732650000,1784750126000,1,200.217,55.153,3.6302105053215605,642689989225816064,1784732650000,1537194706461523968,MP09BN3822,17476000,1784750126000,145.6037278967511,55.15292723361784,3.630215294863987,198.33499999999185,55.15292723361784,1784732650000-642689989225816064-1537194706461523968,200.217,4.799166666666679,,
1326601969871093760,1784721536000-642689989225816064-1326601969871093760,1784721536000,1784739072000,1,199.165,58.129,3.426258838101464,642689989225816064,1784721536000,1326601969871093760,MP09BN3893,17536000,1784739072000,153.46115675951373,58.12922604527035,3.42624551451782,197.86000000000058,58.12922604527035,1784721536000-642689989225816064-1326601969871093760,199.165,4.829999999999927,,
1537213879656906752,1784750107000-642689989225816064-1537213879656906752,1784750107000,1784763666000,1,199.098,53.993,3.6874780064082384,642689989225816064,1784750107000,1537213879656906752,MP09BN1073,13559000,1784763666000,142.54179605916462,53.99310456786539,3.6874708649092103,,53.99310456786539,1784750107000-642689989225816064-1537213879656906752,199.098,3.729166666666515,,
1533070725588451328,1784746517000-642689989225816064-1533070725588451328,1784746517000,1784759496000,1,199.088,50.062,3.976828732371859,642689989225816064,1784746517000,1533070725588451328,MP09BQ7645,12979000,1784759496000,132.16379159143082,50.06204226948137,3.9768253745686133,197.12000000000262,50.06204226948137,1784746517000-642689989225816064-1533070725588451328,199.088,3.567777777777792,,
1326601999923281920,1784742359000-642689989225816064-1326601999923281920,1784742359000,1784757193000,1,199.051,51.896,3.8355749961461383,642689989225816064,1784742359000,1326601999923281920,MP09DZ9027,14834000,1784757193000,137.0065508000702,51.89642075760234,3.8355438986770753,196.88000000000466,51.89642075760234,1784742359000-642689989225816064-1326601999923281920,199.051,4.065555555556784,,
1326602030344568832,1784688569000-642689989225816064-1326602030344568832,1784688569000,1784704579000,1,198.937,67.359,2.953384106058582,642689989225816064,1784688569000,1326602030344568832,MP09DY9063,16010000,1784704579000,177.8265643685309,67.358547109292,2.953403963378494,197.20000000001164,67.358547109292,1784688569000-642689989225816064-1326602030344568832,198.937,4.39333333333343,,
1537213879656906752,1784686598000-642689989225816064-1537213879656906752,1784686598000,1784702621000,1,198.919,68.838,2.889668497051048,642689989225816064,1784686598000,1537213879656906752,MP09BN1073,16023000,1784702621000,181.7312770618193,68.83760494765882,2.8896850805784067,197.0,68.83760494765882,1784686598000-642689989225816064-1537213879656906752,198.919,4.395555555555575,,
1533610372471193600,1784679354000-642689989225816064-1533610372471193600,1784679354000,1784694496000,1,198.913,65.348,3.043903409438698,642689989225816064,1784679354000,1533610372471193600,MP09BL8769,15142000,1784694496000,172.5199312198208,65.34845879538666,3.0438820389447727,197.7100000000064,65.34845879538666,1784679354000-642689989225816064-1533610372471193600,198.913,4.157222222222572,,
1326602160833560576,1784763029000-642689989225816064-1326602160833560576,1784763029000,1784776932000,1,198.823,61.386,3.238898120092529,642689989225816064,1784763029000,1326602160833560576,MP09DT3645,13903000,1784776932000,162.05858195402453,61.385826497736566,3.238907274586114,196.6799999999348,61.385826497736566,1784763029000-642689989225816064-1326602160833560576,198.823,3.8177777777782467,,
1326601999923281920,1784682831000-642689989225816064-1326601999923281920,1784682831000,1784698481000,1,198.822,61.849,3.2146356448770397,642689989225816064,1784682831000,1326601999923281920,MP09DZ9027,15650000,1784698481000,163.2812438913805,61.848956019462314,3.214637930791196,196.8400000000256,61.848956019462314,1784682831000-642689989225816064-1326601999923281920,198.822,4.318333333332703,,
1326601836949405696,1784684775000-642689989225816064-1326601836949405696,1784684775000,1784700647000,1,198.789,61.494,3.2326568445702017,642689989225816064,1784684775000,1326601836949405696,MP09DY9036,15872000,1784700647000,162.34343338703496,61.493724767816275,3.2326713132205547,,61.493724767816275,1784684775000-642689989225816064-1326601836949405696,198.789,4.3713888888905785,,
566305825849643008,1784728640000-642689989225816064-566305825849643008,1784728640000,1784743576000,1,198.638,40.354,4.922386876146107,642689989225816064,1784728640000,566305825849643008,MP09AF2745,14936000,1784743576000,106.53468378243132,40.35404688728459,4.922381156834858,,30.587297166666662,1784728640000-642689989225816064-566305825849643008,198.638,2.553812500000006,,
566305825849643008,1784681029000-642689989225816064-566305825849643008,1784681029000,1784695666000,1,198.268,40.411,4.906287891910618,642689989225816064,1784681029000,566305825849643008,MP09AF2745,14637000,1784695666000,106.68431151339067,40.410724058102524,4.906321394165825,,30.547102416666675,1784681029000-642689989225816064-566305825849643008,198.268,2.4865000000000057,,
1533610372471193600,1784695599000-642689989225816064-1533610372471193600,1784695599000,1784710435000,1,197.083,64.011,3.0788926903188516,642689989225816064,1784695599000,1533610372471193600,MP09BL8769,14836000,1784710435000,168.98992460589562,64.01133507799076,3.078876573342457,195.69000000000233,64.01133507799076,1784695599000-642689989225816064-1533610372471193600,197.083,4.035555555555675,,
1326601811460620288,1784697492000-642689989225816064-1326601811460620288,1784697492000,1784713119000,1,197.077,67.627,2.914176290534846,642689989225816064,1784697492000,1326601811460620288,MP09AE9054,15627000,1784713119000,178.5359521088085,67.62725458666988,2.9141653199514352,195.0,67.62725458666988,1784697492000-642689989225816064-1326601811460620288,197.077,4.292222222220516,,
