vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,load_estimation,carbon_emission,distance,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,engine_hours,active_driver,driver_ids
566306901520842752,1789301319000-642689989225816064-566306901520842752,1789301319000,1789319417000,1,255.369,57.08,4.473878766643308,642689989225816064,1789301319000,566306901520842752,MP09AF2718,18098000,1789319417000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789319473828}",150.69129554971443,255.369,57.08003619307364,4.473875929864734,,48.23228269687502,1789301319000-642689989225816064-566306901520842752,2.9137258333333427,797137039710486532,['1518643558708412416']
739902048702562304,1789327728000-642689989225816064-739902048702562304,1789327728000,1789344511000,1,251.603,57.642,4.364924881163041,642689989225816064,1789327728000,739902048702562304,MP13P9072,16783000,1789344511000,"{'confidence': 78.7, 'count': 25, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 15864.37386998913, 'std': 3375.222806219048, 'timestamp': 1789344612529}",152.1748165443962,251.603,57.641975963786436,4.36492670129958,255.75,57.641975963786436,1789327728000-642689989225816064-739902048702562304,4.650000000001455,,
566305825849643008,1789271848000-642689989225816064-566305825849643008,1789271848000,1789302126000,1,249.079,60.774,4.0984467041827095,642689989225816064,1789271848000,566305825849643008,MP09AF2745,30278000,1789302126000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789303299773}",160.44224523960955,249.079,60.773577742276345,4.098475180386352,,53.18011169325039,1789271848000-642689989225816064-566305825849643008,5.169993055555551,,
588522082246086656,1789300610000-642689989225816064-588522082246086656,1789300610000,1789319577000,1,224.051,47.742,4.692953793305684,642689989225816064,1789300610000,588522082246086656,MP09BP1475,18967000,1789319577000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789319639283}",126.04013791032801,224.051,47.74247648118485,4.692906956519059,,38.339536833333305,1789300610000-642689989225816064-588522082246086656,3.2245000000000092,,
589016215549128704,1789266018000-642689989225816064-589016215549128704,1789266018000,1789284303000,1,221.652,47.027,4.713292363961128,642689989225816064,1789266018000,589016215549128704,MP09BP1580,18285000,1789284303000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789285311476}",124.15042695507222,221.652,47.02667687692129,4.713324749271778,,36.63431201437072,1789266018000-642689989225816064-589016215549128704,3.101680555555563,,
566305663035146240,1789287156000-642689989225816064-566305663035146240,1789287156000,1789306147000,1,213.01,46.71,4.560265467779918,642689989225816064,1789287156000,566305663035146240,MP09AF2754,18991000,1789306147000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789306192059}",123.31338105285862,213.01,46.709614035173715,4.560303149574244,,39.775340458333325,1789287156000-642689989225816064-566305663035146240,3.3137083333333424,,
1326602059092328448,1789308492000-642689989225816064-1326602059092328448,1789308492000,1789323924000,1,199.437,69.476,2.8705884046289367,642689989225816064,1789308492000,1326602059092328448,MP09DT9045,15432000,1789323924000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789323937065}",183.41639371720822,199.437,69.47590671106371,2.8705922591182333,,69.47590671106371,1789308492000-642689989225816064-1326602059092328448,4.248333333332994,,
1326601705701244928,1789311179000-642689989225816064-1326601705701244928,1789311179000,1789328825000,1,199.39,57.855,3.446374557082361,642689989225816064,1789311179000,1326601705701244928,MP09DU7263,17646000,1789328825000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789328836415}",152.73599229278014,199.39,57.85454253514399,3.4464018081014065,198.0799999999581,57.85454253514399,1789311179000-642689989225816064-1326601705701244928,4.850277777777592,,
1326601941924446208,1789306464000-642689989225816064-1326601941924446208,1789306464000,1789322360000,1,199.242,57.055,3.4921041100692314,642689989225816064,1789306464000,1326601941924446208,MP09BN3854,15896000,1789322360000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789322371330}",150.6260131452634,199.242,57.05530800956947,3.4920852581600745,196.85000000000582,57.05530800956947,1789306464000-642689989225816064-1326601941924446208,4.37472222222209,,
1537194706461523968,1789313012000-642689989225816064-1537194706461523968,1789313012000,1789328919000,1,199.229,55.765,3.572653097821214,642689989225816064,1789313012000,1537194706461523968,MP09BN3822,15907000,1789328919000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789328926284}",147.21831798568607,199.229,55.76451438851745,3.572684209387172,198.80999999999767,55.76451438851745,1789313012000-642689989225816064-1537194706461523968,4.368888888888705,,
1537213879656906752,1789314615000-642689989225816064-1537213879656906752,1789314615000,1789329770000,1,199.214,59.105,3.3705101091278236,642689989225816064,1789314615000,1537213879656906752,MP09BN1073,15155000,1789329770000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789329778374}",156.0374870101414,199.214,59.10510871596265,3.370503909524116,198.32000000000698,59.10510871596265,1789314615000-642689989225816064-1537213879656906752,4.1819444444440705,,
1530989903863611392,1789300942000-642689989225816064-1530989903863611392,1789300942000,1789318905000,1,199.201,58.545,3.4025279699376547,642689989225816064,1789300942000,1530989903863611392,MP09BL8795,17963000,1789318905000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789318908551}",154.55960601934595,199.201,58.545305310358316,3.4025102259524083,,58.545305310358316,1789300942000-642689989225816064-1530989903863611392,4.952500000000327,,
1326601999923281920,1789309522000-642689989225816064-1326601999923281920,1789309522000,1789324792000,1,199.175,64.098,3.107351243408531,642689989225816064,1789309522000,1326601999923281920,MP09DZ9027,15270000,1789324792000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789324797081}",169.2199487587364,199.175,64.0984654389153,3.1073286799636453,197.95999999996275,64.0984654389153,1789309522000-642689989225816064-1326601999923281920,4.213055555555911,,
1533610372471193600,1789303660000-642689989225816064-1533610372471193600,1789303660000,1789320763000,1,199.171,66.846,2.9795500104718307,642689989225816064,1789303660000,1533610372471193600,MP09BL8769,17103000,1789320763000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789320802117}",176.47263699352885,199.171,66.84569583088214,2.9795635683694193,198.5800000000163,66.84569583088214,1789303660000-642689989225816064-1533610372471193600,4.721944444444489,,
