account_id,start_time,vehicle_id,vehicle_plate,duration,end_time,id,carbon_emission,distance,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,driver_ids,vehicle_device_type,active_driver,adblue_consumed
632578958264631296,1777448944000,809467481230934016,RJ47GA3181,5606000,1777454550000,1777448944000-632578958264631296-809467481230934016,,,,,,,,['900758004217937927'],,900758004217937927,
632578958264631296,1777476557000,818154714091749376,RJ47GA3069,627000,1777477184000,1777476557000-632578958264631296-818154714091749376,,,,,,,,['900758004201160718'],,900758004201160718,
632578958264631296,1777473408000,818154714091749376,RJ47GA3069,2955000,1777476363000,1777473408000-632578958264631296-818154714091749376,,,,,,,,['900758004201160718'],,900758004201160718,
632578958264631296,1777464600000,818154714091749376,RJ47GA3069,249000,1777464849000,1777464600000-632578958264631296-818154714091749376,,,,,,,,['900758004201160718'],,900758004201160718,
632578958264631296,1777458660000,818154714091749376,RJ47GA3069,220000,1777458880000,1777458660000-632578958264631296-818154714091749376,,,,,,,,['900758004201160718'],,900758004201160718,
632578958264631296,1777446170000,818154714091749376,RJ47GA3069,1163000,1777447333000,1777446170000-632578958264631296-818154714091749376,,,,,,,,['900758004201160718'],,900758004201160718,
632578958264631296,1777467868000,819592403370377216,RJ47GA3114,244000,1777468112000,1777467868000-632578958264631296-819592403370377216,,,,,,,,['900758004209549319'],,900758004209549319,
632578958264631296,1777466812000,819592403370377216,RJ47GA3114,161000,1777466973000,1777466812000-632578958264631296-819592403370377216,,,,,,,,['900758004209549319'],,900758004209549319,
632578958264631296,1777449928000,819592403370377216,RJ47GA3114,5317000,1777455245000,1777449928000-632578958264631296-819592403370377216,,,,,,,,['900758004209549319'],,900758004209549319,
632578958264631296,1777481690000,821719550704746496,RJ47GA3076,1651000,1777483341000,1777481690000-632578958264631296-821719550704746496,,,,,,,,['900758004205355011'],,900758004205355011,
632578958264631296,1777470351000,821719550704746496,RJ47GA3076,146000,1777470497000,1777470351000-632578958264631296-821719550704746496,,,,,,,,['900758004205355011'],,900758004205355011,
632578958264631296,1777440953000,821719550704746496,RJ47GA3076,7950000,1777448903000,1777440953000-632578958264631296-821719550704746496,,,,,,,,['900758004205355011'],,900758004205355011,
632578958264631296,1777449511000,847116116999274496,RJ47GA3311,664000,1777450175000,1777449511000-632578958264631296-847116116999274496,,,,,,,,,,,
632578958264631296,1777446668000,847116116999274496,RJ47GA3311,2250000,1777448918000,1777446668000-632578958264631296-847116116999274496,,,,,,,,,,,
632578958264631296,1777446464000,847124352678756352,RJ47GA3539,6727000,1777453191000,1777446464000-632578958264631296-847124352678756352,,,,,,,,,,,
632578958264631296,1777478663000,848986467664396288,RJ47GA3067,330000,1777478993000,1777478663000-632578958264631296-848986467664396288,,,,,,,,['900758004201160714'],,900758004201160714,
632578958264631296,1777475807000,848986467664396288,RJ47GA3067,593000,1777476400000,1777475807000-632578958264631296-848986467664396288,,,,,,,,['900758004201160714'],,900758004201160714,
632578958264631296,1777460765000,848986467664396288,RJ47GA3067,322000,1777461087000,1777460765000-632578958264631296-848986467664396288,,,,,,,,['900758004201160714'],,900758004201160714,
