vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,engine_hours,fuel_consumed,odo_distance_km,raw_fuel_consumed,id,mileage,distance,load_estimation,driver_ids,vehicle_device_type,active_driver,adblue_consumed
1050036987500691456,1786340661000-632578958264631296-1050036987500691456,1786340661000,1786355034000,1,173.121,58.768,2.945837870950177,632578958264631296,1786340661000,1050036987500691456,RJ47GA6281,14373000,1786355034000,155.14825026710866,3.949999999999818,58.76827661632904,184.29999999998836,58.76827661632904,1786340661000-632578958264631296-1050036987500691456,2.94582400518952,173.121,"{'confidence': 1.6, 'count': 3, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 44615.435870218746, 'std': 15208.570453192506, 'timestamp': 1786364564124}",,,,
1050036509840769024,1786340715000-632578958264631296-1050036509840769024,1786340715000,1786354850000,1,173.109,57.414,3.015100846483436,632578958264631296,1786340715000,1050036509840769024,RJ47GA6390,14135000,1786354850000,151.57167321570677,3.899999999999636,57.4135125817071,183.30000000001746,57.4135125817071,1786340715000-632578958264631296-1050036509840769024,3.015126443511756,173.109,"{'confidence': 65.3, 'count': 7, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 50709.85414452267, 'std': 9311.422048155784, 'timestamp': 1786373484464}",,,,
943818030159233024,1786402356000-632578958264631296-943818030159233024,1786402356000,1786420840000,1,172.714,74.56,2.31644313304721,632578958264631296,1786402356000,943818030159233024,RJ47GA3457,18484000,1786420840000,196.83962549731123,5.100000000000364,74.56046420352698,174.75,74.56046420352698,1786402356000-632578958264631296-943818030159233024,2.3164287111805564,172.714,"{'confidence': 63, 'count': 14, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 49915.330090742245, 'std': 13818.427935113123, 'timestamp': 1786475234699}",,,,
1047649870816477184,1786341371000-632578958264631296-1047649870816477184,1786341371000,1786354215000,1,171.077,63.99,2.673495858727926,632578958264631296,1786341371000,1047649870816477184,RJ47GA3762,12844000,1786354215000,168.9333170373209,3.5499999999992724,63.989892817167004,174.0,63.98989281716701,1786341371000-632578958264631296-1047649870816477184,2.673500336823568,171.077,,,,,
1050036568242257920,1786403029000-632578958264631296-1050036568242257920,1786403029000,1786417186000,1,170.196,54.281,3.13546176378475,632578958264631296,1786403029000,1050036568242257920,RJ47GA6480,14157000,1786417186000,143.30184000000708,3.8499999999994543,54.28100000000268,180.0,54.28100000000268,1786403029000-632578958264631296-1050036568242257920,3.135461763784595,170.196,"{'confidence': 45.5, 'count': 16, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'MEDIUM', 'mean': 41634.57907838507, 'std': 18139.56716672553, 'timestamp': 1786492166643}",,,,
1478688867300147200,1786343124000-632578958264631296-1478688867300147200,1786343124000,1786356942000,1,169.75,60.366,2.8120133850180564,632578958264631296,1786343124000,1478688867300147200,NL01AK3095,13818000,1786356942000,159.3653736477376,3.3500000000001364,60.36567183626425,169.75,59.79496513449479,1786343124000-632578958264631296-1478688867300147200,2.8120286718655203,169.75,"{'confidence': 75.6, 'count': 11, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 57327.50445403195, 'std': 9278.330098403296, 'timestamp': 1786449216877}",,,,
1071858322266652672,1786404547000-632578958264631296-1071858322266652672,1786404547000,1786419265000,1,167.772,49.013,3.4230102217778957,632578958264631296,1786404547000,1071858322266652672,RJ47GA5753,14718000,1786419265000,129.39425614959376,4.050000000000182,49.01297581424006,174.79999999998836,49.01297581424006,1786404547000-632578958264631296-1071858322266652672,3.423011910883732,167.772,,,,,
947105297703370752,1786368116000-632578958264631296-947105297703370752,1786368116000,1786384011000,1,167.687,34.316,4.886554376967013,632578958264631296,1786368116000,947105297703370752,RJ47GA3607,15895000,1786384011000,90.59329786906501,4.350000000000364,34.315643132221595,,29.363597266828396,1786368116000-632578958264631296-947105297703370752,4.886605195009322,167.687,"{'confidence': 47, 'count': 6, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'LOW', 'mean': 16800.610015458813, 'std': 4365.84276926672, 'timestamp': 1786397175957}",,,,
1067763553357791232,1786366520000-632578958264631296-1067763553357791232,1786366520000,1786380715000,1,167.368,59.501,2.8128602880623856,632578958264631296,1786366520000,1067763553357791232,RJ47GA6214,14195000,1786380715000,157.08379386235865,3.899999999999636,59.501437069075244,175.89999999999418,59.50143706907524,1786366520000-632578958264631296-1067763553357791232,2.812839626137137,167.368,"{'confidence': 57.3, 'count': 13, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 30}, 'load_class': 'HIGH', 'mean': 59661.75036025775, 'std': 18353.381835833352, 'timestamp': 1786454813559}",,,,
796385052366733312,1786349963000-632578958264631296-796385052366733312,1786349963000,1786368748000,1,166.352,65.5,2.5397251908396945,632578958264631296,1786349963000,796385052366733312,RJ47GA3184,18785000,1786368748000,172.92000000000002,5.149999999999636,65.5,189.90000000002328,65.5,1786349963000-632578958264631296-796385052366733312,2.5397251908396945,166.352,"{'confidence': 19, 'count': 5, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 64773.1933255839, 'std': 23456.291552917024, 'timestamp': 1786452174713}",['900758004217937933'],,900758004217937933,
