vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,distance,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,engine_hours
1396249660175155200,1783522634000-1205841794575630336-1396249660175155200,1783522634000,1783534499000,1,110.288,17.198,6.412838702174671,1205841794575630336,1783522634000,1396249660175155200,OD05BY4958SV,11865000,1783534499000,45.40331545127575,110.288,17.198225549725663,6.412754599660385,112.18700000000536,39.032964403907215,1783522634000-1205841794575630336-1396249660175155200,3.2928124999999997
1396249660175155200,1783477672000-1205841794575630336-1396249660175155200,1783477672000,1783492872000,1,109.293,17.397,6.282290050008623,1205841794575630336,1783477672000,1396249660175155200,OD05BY4958SV,15200000,1783492872000,45.9275973745617,109.293,17.396817187333976,6.282356066808156,110.90699999999924,42.61413925074467,1783477672000-1205841794575630336-1396249660175155200,4.216666666666667
1262136222998855680,1783470896000-1205841794575630336-1262136222998855680,1783470896000,1783487526000,1,109.241,20.017,5.4574112004795925,1205841794575630336,1783470896000,1262136222998855680,OD11AE3463,16630000,1783487526000,52.845377059127124,109.241,20.017188279972395,5.4573598685334765,115.875,20.00636043035331,1783470896000-1205841794575630336-1262136222998855680,4.568888888889071
1262136222998855680,1783495820000-1205841794575630336-1262136222998855680,1783495820000,1783512301000,1,108.772,20.782,5.233952458858628,1205841794575630336,1783495820000,1262136222998855680,OD11AE3463,16481000,1783512301000,54.86400786144508,108.772,20.781821159638287,5.233997500240889,116.375,20.781821159638287,1783495820000-1205841794575630336-1262136222998855680,4.5
1262146098550538240,1783472405000-1205841794575630336-1262146098550538240,1783472405000,1783487007000,1,107.52,19.368,5.551425030978934,1205841794575630336,1783472405000,1262146098550538240,OD01AW2505,14602000,1783487007000,51.130240289074926,107.52,19.367515261013228,5.551563974571253,114.75,19.367515261013228,1783472405000-1205841794575630336-1262146098550538240,4.0
1207340533945466880,1783475467000-1205841794575630336-1207340533945466880,1783475467000,1783485220000,1,106.464,18.451,5.770093761855725,1205841794575630336,1783475467000,1207340533945466880,OD20C5811,9753000,1783485220000,48.710788063405694,106.464,18.451056084623367,5.770076222830646,110.0,18.451056084623367,1783475467000-1205841794575630336-1207340533945466880,0.0
1207324802503671808,1783481493000-1205841794575630336-1207324802503671808,1783481493000,1783494342000,1,106.351,26.029,4.0858657651081485,1205841794575630336,1783481493000,1207324802503671808,OD30F1965,12849000,1783494342000,68.71670335622528,106.351,26.029054301600485,4.085857241208362,108.0,26.02905430160049,1783481493000-1205841794575630336-1207324802503671808,0.0
1207324802503671808,1783505286000-1205841794575630336-1207324802503671808,1783505286000,1783515507000,1,106.27,20.547,5.17204458071738,1205841794575630336,1783505286000,1207324802503671808,OD30F1965,10221000,1783515507000,54.243098059243465,106.27,20.546628052743735,5.172138208138197,109.0,20.546628052743735,1783505286000-1205841794575630336-1207324802503671808,0.0
1207340028343091200,1783485370000-1205841794575630336-1207340028343091200,1783485370000,1783496799000,1,106.046,18.605,5.699865627519484,1205841794575630336,1783485370000,1207340028343091200,OD20C5829,11429000,1783496799000,49.118287374938994,106.046,18.60541188444659,5.6997394445564735,109.0,18.60541188444659,1783485370000-1205841794575630336-1207340028343091200,0.0
1262069974025895936,1783471924000-1205841794575630336-1262069974025895936,1783471924000,1783484923000,1,104.203,28.023,3.7184812475466584,1205841794575630336,1783471924000,1262069974025895936,OD15Y8002,12999000,1783484923000,73.98182431950151,104.203,28.02341830284148,3.718425742138466,111.10000000000582,28.02358723385405,1783471924000-1205841794575630336-1262069974025895936,0.0
1262053293035618304,1783499299000-1205841794575630336-1262053293035618304,1783499299000,1783512838000,1,103.96,18.242,5.698936520118408,1205841794575630336,1783499299000,1262053293035618304,OD26G3691,13539000,1783512838000,48.15896960304453,103.96,18.24203394054717,5.698925916858683,108.90000000002328,18.24203394054717,1783499299000-1205841794575630336-1262053293035618304,0.0
1262099826342887424,1783502196000-1205841794575630336-1262099826342887424,1783502196000,1783516209000,1,103.445,21.614,4.786018321458314,1205841794575630336,1783502196000,1262099826342887424,OD17AB5424,14013000,1783516209000,57.06144042262496,103.445,21.61418197826703,4.785978026094789,111.29999999998836,21.61418197826703,1783502196000-1205841794575630336-1262099826342887424,0.0
1262099826342887424,1783476781000-1205841794575630336-1262099826342887424,1783476781000,1783490144000,1,103.366,23.997,4.307455098553986,1205841794575630336,1783476781000,1262099826342887424,OD17AB5424,13363000,1783490144000,63.3514247305308,103.366,23.996751791867727,4.3074996523083495,111.29999999998836,23.996751791867727,1783476781000-1205841794575630336-1262099826342887424,0.0
1207345693178462208,1783471112000-1205841794575630336-1207345693178462208,1783471112000,1783484438000,1,103.152,19.74,5.225531914893618,1205841794575630336,1783471112000,1207345693178462208,OD24J9586,13326000,1783484438000,52.11366769298238,103.152,19.740025641281203,5.225525127195581,106.0,19.740025641281203,1783471112000-1205841794575630336-1207345693178462208,0.0
1262071077832491008,1783476352000-1205841794575630336-1262071077832491008,1783476352000,1783488843000,1,102.428,16.946,6.04437625398324,1205841794575630336,1783476352000,1262071077832491008,OD23Q8703,12491000,1783488843000,44.737145129140124,102.428,16.94588830649247,6.0444160935934415,106.89999999999418,16.94588830649247,1783476352000-1205841794575630336-1262071077832491008,0.0
1262146233779093504,1783470312000-1205841794575630336-1262146233779093504,1783470312000,1783488108000,1,100.294,19.499,5.143545822862711,1205841794575630336,1783470312000,1262146233779093504,OD01AX7597,17796000,1783488108000,51.477849661020414,100.294,19.499185477659246,5.143496897083706,104.5,19.499185477659246,1783470312000-1205841794575630336-1262146233779093504,4.899999999999636
1262139488994328576,1783495535000-1205841794575630336-1262139488994328576,1783495535000,1783513699000,1,99.569,19.797,5.029499419103905,1205841794575630336,1783495535000,1262139488994328576,OD01AV6701,18164000,1783513699000,52.26372822854938,99.569,19.7968667532384,5.029533271153242,106.625,19.7968667532384,1783495535000-1205841794575630336-1262139488994328576,5.0
1262012583611727872,1783499451000-1205841794575630336-1262012583611727872,1783499451000,1783511062000,1,99.174,18.864,5.257315521628499,1205841794575630336,1783499451000,1262012583611727872,OD26G5242,11611000,1783511062000,49.80171174206447,99.174,18.864284750781994,5.257236164010346,103.79999999998836,18.864284750781994,1783499451000-1205841794575630336-1262012583611727872,0.0
1207350658773024768,1783532201000-1205841794575630336-1207350658773024768,1783532201000,1783542575000,1,98.894,16.777,5.89461763128092,1205841794575630336,1783532201000,1207350658773024768,OD10AA3952,10374000,1783542575000,44.2918998828451,98.894,16.77723480410799,5.894535133750725,101.54000000000815,16.77723480410799,1783532201000-1205841794575630336-1207350658773024768,0.0
1262014185307373568,1783505095000-1205841794575630336-1262014185307373568,1783505095000,1783518894000,1,98.712,13.665,7.223710208562021,1205841794575630336,1783505095000,1262014185307373568,OD15Y8795,13799000,1783518894000,36.07620422347336,98.712,13.665228872527788,7.223589222017933,98.70000000001164,13.665228872527788,1783505095000-1205841794575630336-1262014185307373568,0.0
1207296121005670400,1783481838000-1205841794575630336-1207296121005670400,1783481838000,1783495891000,1,98.0,24.419,4.0132683566075595,1205841794575630336,1783481838000,1207296121005670400,OD30F1977,14053000,1783495891000,64.46645485517729,98.0,24.419111687567153,4.013250000813753,98.0,24.419111687567153,1783481838000-1205841794575630336-1207296121005670400,0.0
1262052313451724800,1783485038000-1205841794575630336-1262052313451724800,1783485038000,1783499948000,1,97.013,15.984,6.069381881881882,1205841794575630336,1783485038000,1262052313451724800,OD26G5271,14910000,1783499948000,42.19668737081459,97.013,15.98359370106613,6.069536164043577,99.60000000000582,15.98359370106613,1783485038000-1205841794575630336-1262052313451724800,0.0
1262052313451724800,1783470412000-1205841794575630336-1262052313451724800,1783470412000,1783484473000,1,96.834,15.718,6.160707469143657,1205841794575630336,1783470412000,1262052313451724800,OD26G5271,14061000,1783484473000,41.49679059361382,96.834,15.718481285459777,6.160518833939467,101.10000000000582,15.718868257430948,1783470412000-1205841794575630336-1262052313451724800,0.0
1403393152290652160,1783494398000-1205841794575630336-1403393152290652160,1783494398000,1783500035000,1,96.696,14.484,6.676056338028169,1205841794575630336,1783494398000,1403393152290652160,OD05BX6651SV,5637000,1783500035000,38.23693677423567,96.696,14.483688172058965,6.676200070817593,97.3090000000011,28.843812168804817,1783494398000-1205841794575630336-1403393152290652160,1.5627466666666665
1262031242937761792,1783501325000-1205841794575630336-1262031242937761792,1783501325000,1783515424000,1,96.617,17.78,5.4340269966254215,1205841794575630336,1783501325000,1262031242937761792,OD03AA8268,14099000,1783515424000,46.938002613848894,96.617,17.77954644463973,5.434165618388347,100.69999999998254,17.77954644463973,1783501325000-1205841794575630336-1262031242937761792,0.0
