vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,distance,fuel_consumed,mileage,raw_fuel_consumed,id,odo_distance_km,load_estimation,driver_ids,engine_hours
1262075530765664256,1785919609000-1205841794575630336-1262075530765664256,1785919609000,1785938052000,1,129.457,25.34,5.108800315706393,1205841794575630336,1785919609000,1262075530765664256,OD15Y8031,18443000,1785938052000,66.89826861849409,129.457,25.34025326458109,5.108749255515387,25.338291580938016,1785919609000-1205841794575630336-1262075530765664256,134.60000000000582,,,0.0
1262099826342887424,1785892556000-1205841794575630336-1262099826342887424,1785892556000,1785910054000,2,127.6,26.615000000000002,4.794288934811196,1205841794575630336,1785892556000,1262099826342887424,OD17AB5424,17498000,1785910054000,70.27578695502768,120.668,26.61961627084382,4.533048063963506,26.61961627084382,1785892556000-1205841794575630336-1262099826342887424,127.80000000001746,"{'confidence': 68.8, 'count': 12, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'MEDIUM', 'mean': 6288.196543237905, 'std': 1360.4165836106188, 'timestamp': 1785983126299}",,0.0
1207341868648497152,1785913221000-1205841794575630336-1207341868648497152,1785913221000,1785934279000,1,123.065,26.319,4.675899540256089,1205841794575630336,1785913221000,1207341868648497152,OD08V3215,21058000,1785934279000,69.48171466967807,123.065,26.318831314271996,4.675929509577621,26.318831314271996,1785913221000-1205841794575630336-1207341868648497152,127.0,"{'confidence': 65.9, 'count': 14, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'MEDIUM', 'mean': 6882.059394144572, 'std': 1757.502600111148, 'timestamp': 1785952661346}",,0.0
1207323721602170880,1785905184000-1205841794575630336-1207323721602170880,1785905184000,1785919050000,1,120.996,25.774,4.694498331652052,1205841794575630336,1785905184000,1207323721602170880,OD06M9003,13866000,1785919050000,68.04368800037115,120.996,25.774124242564827,4.694475702114466,25.774124242564827,1785905184000-1205841794575630336-1207323721602170880,122.0,"{'confidence': 0, 'count': 2, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 14200.847456517198, 'std': 3872.247079607589, 'timestamp': 1786007813471}",,0.0
1207345153560281088,1785922419000-1205841794575630336-1207345153560281088,1785922419000,1785940374000,1,118.76,23.998,4.948745728810734,1205841794575630336,1785922419000,1207345153560281088,OD24J9538,17955000,1785940374000,63.355101896563205,118.76,23.99814465778909,4.948715898395671,23.99814465778909,1785922419000-1205841794575630336-1207345153560281088,121.0,"{'confidence': 0, 'count': 2, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 9117.12772563357, 'std': 990.697180081807, 'timestamp': 1785948592693}",,0.0
1207352518380617728,1785894716000-1205841794575630336-1207352518380617728,1785894716000,1785911868000,1,118.452,36.213,3.2709800347941345,1205841794575630336,1785894716000,1207352518380617728,OD08X4596,17152000,1785911868000,95.60337835045432,118.452,36.213400890323605,3.270943824324739,36.213400890323605,1785894716000-1205841794575630336-1207352518380617728,122.05999999999767,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1785984216973}",,0.0
1207345153560281088,1785905990000-1205841794575630336-1207345153560281088,1785905990000,1785922319000,1,117.824,24.13,4.882884376295069,1205841794575630336,1785905990000,1207345153560281088,OD24J9538,16329000,1785922319000,63.702086122843426,117.824,24.12957807683463,4.882969757068227,24.12957807683463,1785905990000-1205841794575630336-1207345153560281088,119.0,"{'confidence': 34.7, 'count': 3, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'LOW', 'mean': 5191.174887439819, 'std': 1174.4877546100752, 'timestamp': 1785931456993}",,0.0
1262206641525227520,1785889567000-1205841794575630336-1262206641525227520,1785889567000,1785905563000,1,117.237,17.639,6.64646521911673,1205841794575630336,1785889567000,1262206641525227520,OD05BU0517,15996000,1785905563000,46.56726856505127,117.237,17.639116880701238,6.646421178163839,17.639116880701238,1785889567000-1205841794575630336-1262206641525227520,125.0,"{'confidence': 26.9, 'count': 6, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 8936.312851767449, 'std': 3200.343515548283, 'timestamp': 1785966096899}",,4.400000000000546
1207345153560281088,1785889774000-1205841794575630336-1207345153560281088,1785889774000,1785905421000,1,117.219,23.074,5.080133483574586,1205841794575630336,1785889774000,1207345153560281088,OD24J9538,15647000,1785905421000,60.915743951755466,117.219,23.07414543627101,5.0801014635081385,23.07414543627101,1785889774000-1205841794575630336-1207345153560281088,120.0,"{'confidence': 42.1, 'count': 4, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 8503.830284559355, 'std': 1968.5710382477162, 'timestamp': 1785924087928}",,0.0
1262062608723214336,1785888183000-1205841794575630336-1262062608723214336,1785888183000,1785915159000,1,116.864,26.105,4.476690289216625,1205841794575630336,1785888183000,1262062608723214336,OD17AB7319,26976000,1785915159000,68.91830463609729,116.864,26.105418422764124,4.47661853594707,26.105418422764124,1785888183000-1205841794575630336-1262062608723214336,122.19999999998254,"{'confidence': 84.3, 'count': 25, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 8608.044615814366, 'std': 1354.2715610746347, 'timestamp': 1785965415163}",,0.0
