vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,distance,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,load_estimation,driver_ids
1494312472553717760,1785188827000-649034868264558592-1494312472553717760,1785188827000,1785197468000,1,143.237,51.119,2.8020305561532894,649034868264558592,1785188827000,1494312472553717760,Mp09AZ9990,8641000,1785197468000,134.9550272269216,143.237,2.3458333333328483,51.119328495046055,2.8020125501820905,140.1599999999744,51.119328495046055,1785188827000-649034868264558592-1494312472553717760,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1785408008395}",
1334833282986016768,1785110463000-649034868264558592-1334833282986016768,1785110463000,1785124797000,1,139.978,32.751,4.2740069005526555,649034868264558592,1785110463000,1334833282986016768,MP09DU9990,14334000,1785124797000,86.46168208487198,139.978,3.899999999999636,32.7506371533606,4.274054252579224,149.00500000000466,32.7506371533606,1785110463000-649034868264558592-1334833282986016768,"{'confidence': 72, 'count': 22, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 19054.103004570352, 'std': 5006.376267493001, 'timestamp': 1785361859546}",
1537489451758911488,1785172277000-649034868264558592-1537489451758911488,1785172277000,1785181874000,1,137.667,39.895,3.4507331745832808,649034868264558592,1785172277000,1537489451758911488,MP09BG9990,9597000,1785181874000,105.32181404700354,137.667,0.0,39.89462653295588,3.450765478059482,141.20999999999185,39.89462653295588,1785172277000-649034868264558592-1537489451758911488,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1785357622907}",
1552709347677569024,1785120911000-649034868264558592-1552709347677569024,1785120911000,1785132487000,3,135.845,46.997,2.890503649169096,649034868264558592,1785120911000,1552709347677569024,MP09BN9990,11576000,1785132487000,124.76639999999578,134.754,3.2000000000000455,47.2599999999984,2.8513330512061903,138.04999999999563,47.2599999999984,1785120911000-649034868264558592-1552709347677569024,"{'confidence': 68.1, 'count': 21, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 18938.057649883125, 'std': 5529.509883602193, 'timestamp': 1785408668472}",
1284476928488636416,1785149418000-649034868264558592-1284476928488636416,1785149418000,1785163049000,2,132.16,45.378,2.9124245228965577,649034868264558592,1785149418000,1284476928488636416,MP09DJ9990,13631000,1785163049000,119.53919999999694,124.795,3.75,45.279999999998836,2.756073321554841,132.52499999990687,45.279999999998836,1785149418000-649034868264558592-1284476928488636416,"{'confidence': 69.9, 'count': 17, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 2}, 'load_class': 'HIGH', 'mean': 26446.689634878276, 'std': 6566.909675762411, 'timestamp': 1785387055770}",
1494312472553717760,1785152954000-649034868264558592-1494312472553717760,1785152954000,1785161831000,1,129.054,42.55,3.0329964747356053,649034868264558592,1785152954000,1494312472553717760,Mp09AZ9990,8877000,1785161831000,112.33169951145838,129.054,2.4361111111111313,42.54988617858272,3.033004588034802,125.82000000000698,42.54988617858272,1785152954000-649034868264558592-1494312472553717760,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1785385649669}",
1494312254978392064,1785152847000-649034868264558592-1494312254978392064,1785152847000,1785166159000,1,127.336,46.354,2.7470336971998104,649034868264558592,1785152847000,1494312254978392064,MP09AY9990,13312000,1785166159000,122.37573396554879,127.336,3.61027777777781,46.35444468391999,2.7470073445658576,122.59999999997672,46.36225339931114,1785152847000-649034868264558592-1494312254978392064,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1785388715484}",
1268894095296692224,1785172122000-649034868264558592-1268894095296692224,1785172122000,1785181248000,1,124.649,45.874,2.7172036447660983,649034868264558592,1785172122000,1268894095296692224,MP09DF0999,9126000,1785181248000,121.10622312353509,124.649,2.4944444444445253,45.87356936497541,2.7172291523312295,121.95999999996275,45.87356936497542,1785172122000-649034868264558592-1268894095296692224,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1785357133231}",
1146410747421523968,1785168344000-649034868264558592-1146410747421523968,1785168344000,1785176454000,1,118.547,49.487,2.395518014832178,649034868264558592,1785168344000,1146410747421523968,MP09ZM9990,8110000,1785176454000,130.64651211565177,118.547,2.2200000000002547,49.48731519532264,2.395502757264242,117.28000000002794,49.48731519532264,1785168344000-649034868264558592-1146410747421523968,,
1474016042442293248,1785115866000-649034868264558592-1474016042442293248,1785115866000,1785125869000,2,118.11500000000001,45.733999999999995,2.5826518563869336,649034868264558592,1785115866000,1474016042442293248,MP09AP9990,10003000,1785125869000,127.55246572741109,129.366,2.75,48.31532792704965,2.677535381635558,125.32000000000698,48.315327927049644,1785115866000-649034868264558592-1474016042442293248,"{'confidence': 76.3, 'count': 30, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 24036.179911714647, 'std': 6231.763302593861, 'timestamp': 1785363973140}",
