vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,distance,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,load_estimation
1220369221305761792,1786010523000-649034868264558592-1220369221305761792,1786010523000,1786053256000,3,452.32000000000005,177.575,2.547205406166409,649034868264558592,1786010523000,1220369221305761792,MP09ZY9990,42733000,1786053256000,466.96604030268503,454.396,11.821944444443943,176.88107587222916,2.5689350754980427,455.6800000000512,176.88107587222916,1786010523000-649034868264558592-1220369221305761792,
1334833384924381184,1786033443000-649034868264558592-1334833384924381184,1786033443000,1786063119000,1,447.776,134.658,3.32528331031205,649034868264558592,1786033443000,1334833384924381184,MP09DT9990,29676000,1786063119000,355.4966005374635,447.776,8.200000000000728,134.65780323388768,3.3252881693180165,466.6350000000093,134.65780323388768,1786033443000-649034868264558592-1334833384924381184,
1334833282986016768,1786037762000-649034868264558592-1334833282986016768,1786037762000,1786068583000,2,425.94,124.982,3.408010753548511,649034868264558592,1786037762000,1334833282986016768,MP09DU9990,30821000,1786068583000,329.9345774840165,406.881,8.200000000000728,124.97521874394563,3.255693441382443,427.4650000000256,124.97521874394563,1786037762000-649034868264558592-1334833282986016768,"{'confidence': 71.1, 'count': 8, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 17925.418667115155, 'std': 2926.761044121112, 'timestamp': 1786112899145}"
1474016042442293248,1786039235000-649034868264558592-1474016042442293248,1786039235000,1786069436000,1,419.648,159.948,2.623652687123315,649034868264558592,1786039235000,1474016042442293248,MP09AP9990,30201000,1786069436000,422.26272000001046,419.648,8.350000000000364,159.94800000000396,2.62365268712325,408.3850000000093,159.94800000000396,1786039235000-649034868264558592-1474016042442293248,"{'confidence': 91.6, 'count': 140, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 2}, 'load_class': 'HIGH', 'mean': 22452.553351387913, 'std': 4444.699799248594, 'timestamp': 1786114141213}"
1066488795177680896,1786032118000-649034868264558592-1066488795177680896,1786032118000,1786067418000,1,417.249,156.506,2.666025583683693,649034868264558592,1786032118000,1066488795177680896,MP09PA6660,35300000,1786067418000,413.1747050358157,417.249,9.760555555556493,156.50557008932412,2.6660329070834923,415.6799999999348,156.50557008932412,1786032118000-649034868264558592-1066488795177680896,
1537489458834702336,1786042579000-649034868264558592-1537489458834702336,1786042579000,1786068289000,1,398.412,112.851,3.530425073769838,649034868264558592,1786042579000,1537489458834702336,MP09BF9990,25710000,1786068289000,297.92638299848386,398.412,0.0,112.85090265094085,3.5304281192355917,412.68000000000757,112.85090265094085,1786042579000-649034868264558592-1537489458834702336,
1536322320262496256,1786028093000-649034868264558592-1536322320262496256,1786028093000,1786046922000,1,397.426,97.165,4.0902176709720575,649034868264558592,1786028093000,1536322320262496256,MP09BL9000,18829000,1786046922000,256.515342812258,397.426,5.204999999999927,97.16490258040075,4.090221771911345,394.22000000000116,97.16490258040075,1786028093000-649034868264558592-1536322320262496256,
1476550907393998848,1786039338000-649034868264558592-1476550907393998848,1786039338000,1786059102000,1,396.745,121.008,3.278667526113976,649034868264558592,1786039338000,1476550907393998848,MP09DP0666,19764000,1786059102000,319.4619871713532,396.745,5.441666666666606,121.00832847399742,3.2786586262552464,390.0599999999977,121.00832847399742,1786039338000-649034868264558592-1476550907393998848,
1066488845387694080,1786031226000-649034868264558592-1066488845387694080,1786031226000,1786063881000,1,394.046,140.407,2.8064555185995,649034868264558592,1786031226000,1066488845387694080,MP09PA3330,32655000,1786063881000,370.67350225386645,394.046,9.024999999999636,140.40662964161606,2.8064629213434666,389.11999999999534,140.40662964161606,1786031226000-649034868264558592-1066488845387694080,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1786133043320}"
1268893877926887424,1786051127000-649034868264558592-1268893877926887424,1786051127000,1786080414000,2,392.2,139.41500000000002,2.813183660294803,649034868264558592,1786051127000,1268893877926887424,MP09DH0009,29287000,1786080414000,368.0808375489751,398.979,8.081666666666933,139.4245596776421,2.8616120497168023,394.44000000006054,139.4245596776421,1786051127000-649034868264558592-1268893877926887424,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1786147101281}"
