vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,fuel_consumed,odo_distance_km,raw_fuel_consumed,id,distance,mileage,engine_hours,active_driver,driver_ids
1326601941924446208,1785116898000-642689989225816064-1326601941924446208,1785116898000,1785133250000,1,200.129,64.239,3.1153816217562538,642689989225816064,1785116898000,1326601941924446208,MP09BN3854,16352000,1785133250000,169.5919047961246,64.23935787731992,197.13499999999476,64.31513244830624,1785116898000-642689989225816064-1326601941924446208,200.1290000000006,3.1153642659721745,4.126666666666779,,
1533070673256120320,1785156589000-642689989225816064-1533070673256120320,1785156589000,1785173464000,1,200.087,62.059,3.2241415427254707,642689989225816064,1785156589000,1533070673256120320,MP09BQ7694,16875000,1785173464000,163.83481694385387,62.05864278176282,197.70500000000175,62.05864278176282,1785156589000-642689989225816064-1533070673256120320,200.087,3.2241601013356287,4.6463888888888505,,
1537194706461523968,1785171148000-642689989225816064-1537194706461523968,1785171148000,1785184944000,1,199.263,57.046,3.493023174280405,642689989225816064,1785171148000,1537194706461523968,MP09BN3822,13796000,1785184944000,150.60075530251848,57.04574064489336,197.55999999999767,57.04574064489336,1785171148000-642689989225816064-1537194706461523968,199.263,3.493039055104944,3.7911111111111495,,
1326601875818020864,1785162049000-642689989225816064-1326601875818020864,1785162049000,1785178175000,1,199.241,57.633,3.4570645290024813,642689989225816064,1785162049000,1326601875818020864,MP09BN1094,16126000,1785178175000,152.15161404312914,57.633187137548916,197.47000000000116,57.633187137548916,1785162049000-642689989225816064-1326601875818020864,199.241,3.4570533037585807,4.424166666666679,,
1326603043004743680,1785158237000-642689989225816064-1326603043004743680,1785158237000,1785175801000,1,199.235,58.354,3.4142475237344487,642689989225816064,1785158237000,1326603043004743680,MP09AE6372,17564000,1785175801000,154.05333155165619,58.353534678657645,197.7600000000093,58.353534678657645,1785158237000-642689989225816064-1326603043004743680,199.235,3.414274749544327,4.837777777778683,,
1326601969871093760,1785167194000-642689989225816064-1326601969871093760,1785167194000,1785181482000,1,199.172,57.818,3.444809574872877,642689989225816064,1785167194000,1326601969871093760,MP09BN3893,14288000,1785181482000,152.6408196303727,57.81849228423208,197.75,57.81849228423208,1785167194000-642689989225816064-1326601969871093760,199.172,3.4447802447162226,3.913888888889005,,
739915798490906624,1785193346000-642689989225816064-739915798490906624,1785193346000,1785206859000,1,198.997,47.156,4.219972007803886,642689989225816064,1785193346000,739915798490906624,MP13P5481,13513000,1785206859000,124.49059660759806,47.15552901802957,,47.15552901802957,1785193346000-642689989225816064-739915798490906624,198.997,4.220014156217291,3.75,,
1537194706461523968,1785194106000-642689989225816064-1537194706461523968,1785194106000,1785208846000,1,198.976,62.445,3.1864200496436865,642689989225816064,1785194106000,1537194706461523968,MP09BN3822,14740000,1785208846000,164.85396353253395,62.44468315626286,197.31999999999243,62.44468315626286,1785194106000-642689989225816064-1537194706461523968,198.976,3.186436217509157,4.064444444444462,,
1534933431186620416,1785114681000-642689989225816064-1534933431186620416,1785114681000,1785129762000,1,198.892,63.386,3.1377906793298203,642689989225816064,1785114681000,1534933431186620416,MP09BL8455,15081000,1785129762000,167.33949072895254,63.38617073066384,197.81999999999243,63.428257356104666,1785114681000-642689989225816064-1534933431186620416,198.89199999999477,3.137782227689901,3.8211111111113496,,
1537213879656906752,1785114915000-642689989225816064-1537213879656906752,1785114915000,1785131414000,1,198.605,62.816,3.161694472745797,642689989225816064,1785114915000,1537213879656906752,MP09BN1073,16499000,1785131414000,165.83512694007985,62.816335962151456,197.44000000000233,62.816335962151456,1785114915000-642689989225816064-1537213879656906752,198.605,3.1616775629776446,4.554444444444471,,
