vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,distance,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,carbon_emission
682178685842751488,1773502723000-649034868264558592-682178685842751488,1773502723000,1773537811000,1,518.788,165.502,3.1346328141049655,649034868264558592,1773502723000,682178685842751488,MP30P2220,35088000,1773537811000,518.788,0.0,165.50153817839978,3.134641561100058,502.27648086985573,165.55142364971752,1773502723000-649034868264558592-682178685842751488,
682178375686553600,1773500739000-649034868264558592-682178375686553600,1773500739000,1773536103000,1,511.046,165.077,3.0958037764194892,649034868264558592,1773500739000,682178375686553600,MP30P1110,35364000,1773536103000,511.046,0.0,165.07699999999022,3.0958037764196726,501.63274299004115,165.07699999999022,1773500739000-649034868264558592-682178375686553600,
1289228257593393152,1773432369000-649034868264558592-1289228257593393152,1773432369000,1773477653000,3,508.034,183.215,2.7728843162404826,649034868264558592,1773432369000,1289228257593393152,MP09DL9990,45284000,1773477653000,508.076,0.0,183.2733999619484,2.7722299040967635,520.4349999999977,183.2733999619484,1773432369000-649034868264558592-1289228257593393152,
1146409880471470080,1773512590000-649034868264558592-1146409880471470080,1773512590000,1773549444000,2,493.944,172.18099999999998,2.8687485843385745,649034868264558592,1773512590000,1146409880471470080,MP09DC0666,36854000,1773549444000,493.971,10.188888888889778,172.07442126850538,2.8706823266266075,490.27999999996973,172.07442126850538,1773512590000-649034868264558592-1146409880471470080,
1220369364222476288,1773428224000-649034868264558592-1220369364222476288,1773428224000,1773461843000,2,473.295,186.115,2.5430244741154664,649034868264558592,1773428224000,1220369364222476288,MP09ZX9990,33619000,1773461843000,473.34,9.289444444444598,186.0785928328889,2.5437638623218266,475.9199999999255,186.0785928328889,1773428224000-649034868264558592-1220369364222476288,
1334833282986016768,1773510809000-649034868264558592-1334833282986016768,1773510809000,1773542928000,2,456.935,133.618,3.41971141612657,649034868264558592,1773510809000,1334833282986016768,MP09DU9990,32119000,1773542928000,456.968,8.91333333333297,133.63824076279099,3.4194404041214677,474.42499999998836,133.6404803268876,1773510809000-649034868264558592-1334833282986016768,
1192134868188790784,1773510769000-649034868264558592-1192134868188790784,1773510769000,1773546722000,3,456.718,152.312,2.9985687273491255,649034868264558592,1773510769000,1192134868188790784,MP09ZU9990,35953000,1773546722000,456.783,9.900000000000091,152.3760000000002,2.9977358639155733,486.48499999998603,152.3760000000002,1773510769000-649034868264558592-1192134868188790784,
1494312254978392064,1773427039000-649034868264558592-1494312254978392064,1773427039000,1773451539000,2,447.791,124.365,3.60061914525791,649034868264558592,1773427039000,1494312254978392064,MP09AY9990,24500000,1773451539000,447.841,6.766944444444334,124.36834207797548,3.6009244194894565,442.5599999999977,124.36834207797548,1773427039000-649034868264558592-1494312254978392064,
687681844035977216,1773499078000-649034868264558592-687681844035977216,1773499078000,1773544518000,3,446.59,176.285,2.53334089684318,649034868264558592,1773499078000,687681844035977216,MP30P6660,45440000,1773544518000,446.676,0.0,180.68599999998696,2.472111840430538,441.6041856801603,180.68599999998696,1773499078000-649034868264558592-687681844035977216,
1140330319757443072,1773505289000-649034868264558592-1140330319757443072,1773505289000,1773535209000,2,441.847,147.16,3.002493884207665,649034868264558592,1773505289000,1140330319757443072,MP09ZL9990,29920000,1773535209000,441.897,8.277499999999236,147.08640084771676,3.004336209555566,439.5999999999767,147.08640084771676,1773505289000-649034868264558592-1140330319757443072,
