vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,load_estimation,carbon_emission,distance,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id
1186996414987632640,1788196451000-649034868264558592-1186996414987632640,1788196451000,1788240341000,2,559.6800000000001,220.171,2.542024153953064,649034868264558592,1788196451000,1186996414987632640,MP09ZS0009,43890000,1788240341000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788240346837}",580.7389423495737,559.3,12.159444444444489,219.97687210211123,2.5425400163903507,562.0,219.97687210211123,1788196451000-649034868264558592-1186996414987632640
1537489451758911488,1788187974000-649034868264558592-1537489451758911488,1788187974000,1788228491000,1,559.227,181.023,3.0892593758804128,649034868264558592,1788187974000,1537489451758911488,MP09BG9990,40517000,1788228491000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788232676239}",477.9009649447088,559.227,0.0,181.02309278208665,3.089257792502697,581.6849999999977,181.02309278208665,1788187974000-649034868264558592-1537489451758911488
1334832234422599680,1788201740000-649034868264558592-1334832234422599680,1788201740000,1788246741000,1,558.371,225.114,2.480392156862745,649034868264558592,1788201740000,1334832234422599680,MP09DR0666,45001000,1788246741000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788246745225}",594.3001985896794,558.371,12.451944444443143,225.11371158699978,2.4803953347115693,548.8800000000047,225.11371158699978,1788201740000-649034868264558592-1334832234422599680
1334833501215653888,1788187758000-649034868264558592-1334833501215653888,1788187758000,1788225271000,1,557.812,162.761,3.427184644970233,649034868264558592,1788187758000,1334833501215653888,MP09DS9990,37513000,1788225271000,"{'confidence': 84.3, 'count': 57, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 21384.961850077845, 'std': 5060.710804759756, 'timestamp': 1788225278293}",429.6892982379189,557.812,10.399999999999636,162.7610978173935,3.4271825852749274,582.2350000001024,162.7610978173935,1788187758000-649034868264558592-1334833501215653888
1192134718468915200,1788188607000-649034868264558592-1192134718468915200,1788188607000,1788228925000,2,557.72,178.023,3.1328536200378605,649034868264558592,1788188607000,1192134718468915200,MP09ZT0099,40318000,1788228925000,"{'confidence': 78.2, 'count': 27, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 22}, 'load_class': 'HIGH', 'mean': 17761.099497543597, 'std': 4016.8830783088183, 'timestamp': 1788228935426}",467.98795926396696,527.328,11.150000000001455,177.26816638786627,2.974747303733011,560.1550000000279,177.26816638786627,1788188607000-649034868264558592-1192134718468915200
1147228695027515392,1788209292000-649034868264558592-1147228695027515392,1788209292000,1788253321000,2,556.015,179.495,3.097662887545614,649034868264558592,1788209292000,1147228695027515392,MP09ZF9990,44029000,1788253321000,"{'confidence': 77.1, 'count': 21, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 29017.755779392006, 'std': 6101.735318663031, 'timestamp': 1788253358096}",473.99319533991843,522.302,12.199999999998909,179.54287702269636,2.909065559498497,557.0399999999208,179.54287702269636,1788209292000-649034868264558592-1147228695027515392
1552709337468633088,1788202610000-649034868264558592-1552709337468633088,1788202610000,1788244632000,2,555.1800000000001,179.372,3.095131904645095,649034868264558592,1788202610000,1552709337468633088,MP09BN9000,42022000,1788244632000,"{'confidence': 77.6, 'count': 10, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 22897.025822387608, 'std': 3246.556533377069, 'timestamp': 1788244636160}",473.63964636551214,541.901,11.700000000000045,179.40895695663338,3.0204790730207964,556.6050000000105,179.40895695663338,1788202610000-649034868264558592-1552709337468633088
1406271868830220288,1788192658000-649034868264558592-1406271868830220288,1788192658000,1788233344000,3,543.52,211.25,2.5728757396449704,649034868264558592,1788192658000,1406271868830220288,MP09AT9990,40686000,1788233344000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788233490002}",556.888742692756,558.437,11.271666666667443,210.94270556543785,2.6473397053626195,546.1000000000058,210.94270556543785,1788192658000-649034868264558592-1406271868830220288
1474013221449891840,1788198472000-649034868264558592-1474013221449891840,1788198472000,1788245584000,2,541.045,203.94,2.6529616553888395,649034868264558592,1788198472000,1474013221449891840,MP09AS9990,47112000,1788245584000,"{'confidence': 90.5, 'count': 147, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 23169.81245137515, 'std': 5317.102769943452, 'timestamp': 1788245597336}",538.6920000000005,553.703,13.0,204.05000000000018,2.713565302621904,542.6199999999953,204.05000000000018,1788198472000-649034868264558592-1474013221449891840
1518565483060658176,1788184206000-649034868264558592-1518565483060658176,1788184206000,1788241910000,3,537.8399999999999,224.924,2.391207696822037,649034868264558592,1788184206000,1518565483060658176,MP09BK9000,57704000,1788241910000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788241918660}",595.223905800663,556.063,16.00138888888887,225.46360068206934,2.466309410112346,540.9400000000023,225.46360068206934,1788184206000-649034868264558592-1518565483060658176
