vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,distance,carbon_emission,driver_ids,vehicle_device_type,active_driver,adblue_consumed
847124352678756352,1773186153000-632578958264631296-847124352678756352,1773186153000,1773200225000,1,164.506,63.743,2.580769653138384,632578958264631296,1773186153000,847124352678756352,RJ47GA3539,14072000,1773200225000,0.0,63.742944529367904,2.580771898985748,168.75,63.742944529367904,1773186153000-632578958264631296-847124352678756352,164.506,,,,,
1083019060351860736,1773203684000-632578958264631296-1083019060351860736,1773203684000,1773219316000,1,163.776,63.113,2.594964587327492,632578958264631296,1773203684000,1083019060351860736,RJ47GA5912,15632000,1773219316000,4.300000000000182,63.11310652043751,2.5949602076228886,173.0,63.11310652043751,1773203684000-632578958264631296-1083019060351860736,163.776,,,,,
1110856695237574656,1773198508000-632578958264631296-1110856695237574656,1773198508000,1773212369000,1,162.063,57.181,2.8342106643815255,632578958264631296,1773198508000,1110856695237574656,RJ47GA5552,13861000,1773212369000,3.850000000000364,57.181286662951415,2.8341964558311163,170.90000000002328,57.181286662951415,1773198508000-632578958264631296-1110856695237574656,162.063,,,,,
1135566388677574656,1773183361000-632578958264631296-1135566388677574656,1773183361000,1773197107000,1,160.138,44.375,3.608743661971831,632578958264631296,1773183361000,1135566388677574656,RJ47GA6238,13746000,1773197107000,3.800000000000182,44.375,3.608743661971831,168.60000000000582,44.375,1773183361000-632578958264631296-1135566388677574656,160.138,,,,,
944573988506435584,1773237037000-632578958264631296-944573988506435584,1773237037000,1773250142000,1,159.207,43.377,3.670309150010374,632578958264631296,1773237037000,944573988506435584,RJ47GA3719,13105000,1773250142000,3.649999999999636,43.376907582962524,3.670316969818589,165.25,43.376907582962524,1773237037000-632578958264631296-944573988506435584,159.207,,,,,
1175796809117728768,1773186637000-632578958264631296-1175796809117728768,1773186637000,1773199165000,1,156.806,61.241,2.56047419212619,632578958264631296,1773186637000,1175796809117728768,RJ47GA6335,12528000,1773199165000,3.4500000000007276,61.241448885820134,2.560455424435703,166.69999999998254,61.241448885820134,1773186637000-632578958264631296-1175796809117728768,156.806,,,,,
1046443546271285248,1773225009000-632578958264631296-1046443546271285248,1773225009000,1773237290000,1,156.753,51.588,3.0385554780181434,632578958264631296,1773225009000,1046443546271285248,RJ47GA3452,12281000,1773237290000,3.350000000000364,51.58781440865558,3.038566409467803,169.25,51.58781440865558,1773225009000-632578958264631296-1046443546271285248,156.753,,,,,
1083727207982956544,1773187907000-632578958264631296-1083727207982956544,1773187907000,1773201454000,1,156.603,67.716,2.3126439836966157,632578958264631296,1773187907000,1083727207982956544,RJ47GA6322,13547000,1773201454000,3.699999999999818,67.7161298525651,2.312639548966602,166.90000000002328,67.7161298525651,1773187907000-632578958264631296-1083727207982956544,156.603,,,,,
1176582767303983104,1773187337000-632578958264631296-1176582767303983104,1773187337000,1773201757000,1,156.578,66.605,2.3508445311913517,632578958264631296,1773187337000,1176582767303983104,RJ47GA6341,14420000,1773201757000,3.949999999999818,66.60512903969513,2.3508399767033423,165.29999999998836,66.60512903969513,1773187337000-632578958264631296-1176582767303983104,156.578,,,,,
1156948637754851328,1773193373000-632578958264631296-1156948637754851328,1773193373000,1773207569000,1,156.504,43.851,3.5689950058151467,632578958264631296,1773193373000,1156948637754851328,RJ14GP9557,14196000,1773207569000,3.9000000000005457,43.85072750853402,3.5690171837979636,162.09999999997672,43.85072750853402,1773193373000-632578958264631296-1156948637754851328,156.504,,,,,
1083778254826897408,1773225074000-632578958264631296-1083778254826897408,1773225074000,1773237399000,1,156.321,50.094,3.1205533596837944,632578958264631296,1773225074000,1083778254826897408,RJ47GA3529,12325000,1773237399000,3.399999999999636,50.094000000011874,3.1205533596830546,152.875,50.094000000011874,1773225074000-632578958264631296-1083778254826897408,156.321,,,,,
