tags,id,start_time,end_time,account_id,vehicle_id,driver_id,driver_type,trip_id,driver_session_id,distance,mileage,loss,idling_alert_fuel_consumed,ready,alert_breath_test_duration,alert_breath_test_count,alert_camera_tampered_duration,alert_camera_tampered_count,alert_distracted_driving_duration,alert_distracted_driving_count,alert_drowsiness_duration,alert_drowsiness_count,alert_emergency_recording_duration,alert_emergency_recording_count,alert_eyes_closed_duration,alert_eyes_closed_count,alert_fcw_duration,alert_fcw_count,alert_lane_departure_warning_duration,alert_lane_departure_warning_count,alert_mobile_phone_duration,alert_mobile_phone_count,alert_pcw_duration,alert_pcw_count,alert_sd_card_tampered_duration,alert_sd_card_tampered_count,alert_seatbelt_violation_duration,alert_seatbelt_violation_count,alert_tailgating_duration,alert_tailgating_count,alert_smoking_duration,alert_smoking_count,alert_idling_duration,alert_idling_count,alert_over_speed_duration,alert_over_speed_count,alert_speeding_duration,alert_speeding_count,alert_freerun_duration,alert_freerun_count,alert_over_acc_duration,alert_over_acc_count,alert_hard_brake_duration,alert_hard_brake_count,alert_unscheduled_driving_duration,alert_unscheduled_driving_count,alert_slow_running_duration,alert_slow_running_count,alert_continuous_driving_duration,alert_continuous_driving_count,alert_fuel_chori_amount,alert_fuel_chori_count,alert_def_chori_amount,alert_def_chori_count,accident_count,unresolved_alerts_count,day_driving_duration,night_driving_duration,driver_idle_duration_before_trip,vehicle_idle_duration_before_trip,total_alerts_count,gear_utilization,peak_torque_range,fuel_smart_mode,terrain,uphill_slope,engine_load,engine_hours,fuel_consumed,adblue_consumed,avg_speed,last_gear_utilization,last_two_gear_utilization,below_ptr_duration,between_ptr_duration,above_ptr_duration,alert_stoppage_duration,alert_stoppage_count,last_gear_utilization_duration,last_two_gear_utilization_duration,total_gear_utilization_duration,first_gear_pickup_count,second_gear_pickup_count,third_and_higher_gear_pickup_count
[],1477629723302428672-1786193872000,1786193872000,1786194422000,632578958264631296,1477629723302428672,,,1786193872000-632578958264631296-1477629723302428672,,0.417,0.842,,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,550,0,,0,1,,,,,,,0.11286944,0.495,,2.7294545,,,,,,580,1,,,,,,
[],966356141711818752-1786193857000,1786193857000,1786194012000,632578958264631296,966356141711818752,,,1786193857000-632578958264631296-966356141711818752,,0.062,0.288,,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,14198,1,0,0,0,0,0,1,155,0,,0,1,,,,,,,,0.216,,1.44,,,,,,0,0,,,,,,
[],1083726930487803904-1786193852000,1786193852000,1786201131000,632578958264631296,1083726930487803904,,,1786193852000-632578958264631296-1083726930487803904,,61.838,2.239,,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1948,5331,,0,0,"{'fifth_gear_duration': 7.163274496571946, 'first_gear_duration': 1.8683663327210775, 'sixth_gear_duration': 9.282400291937337, 'third_gear_duration': 3.267094341222967, 'eighth_gear_duration': 47.05466989268693, 'fourth_gear_duration': 2.64675715715787, 'second_gear_duration': 2.082188782684474, 'seventh_gear_duration': 26.6352487050174}",,,"{'up': 25.03359014915726, 'down': 24.780175859312557, 'plane': 50.18623399153017}",0.8805588,44.15,2.0,27.614,,30.583431,47.05467,73.68992,277090.0,4517896.0,7083.0,0,0,3173.326,4969.584,6743.913,4.0,0.0,0.0
[],1047649870816477184-1786193844000,1786193844000,1786195309000,632578958264631296,1047649870816477184,,,1786193844000-632578958264631296-1047649870816477184,,9.888,1.447,,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1465,0,,0,0,"{'fifth_gear_duration': 14.684684684684685, 'first_gear_duration': 4.27027027027027, 'sixth_gear_duration': 13.927927927927927, 'third_gear_duration': 8.18018018018018, 'eighth_gear_duration': 28.81081081081081, 'fourth_gear_duration': 11.333333333333332, 'second_gear_duration': 3.9099099099099104, 'seventh_gear_duration': 14.882882882882884}",,,"{'up': 100, 'down': 0, 'plane': 0}",0.899479,60.12,0.4,6.833,,24.298157,28.81081,43.693695,265750.0,698750.0,31000.0,0,0,399.75,606.25,1387.5,2.0,0.0,0.0
[],943818030159233024-1786193833000,1786193833000,1786196462000,632578958264631296,943818030159233024,,,1786193833000-632578958264631296-943818030159233024,,33.605,4.94,,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1967,662,,0,1,"{'fifth_gear_duration': 1.089847956137478, 'first_gear_duration': 0.29778103453286114, 'sixth_gear_duration': 0.5955620690657223, 'third_gear_duration': 0, 'eighth_gear_duration': 96.8256848021325, 'fourth_gear_duration': 0.5955620690657223, 'second_gear_duration': 0, 'seventh_gear_duration': 0.5955620690657223}",,,"{'up': 29.625993311447235, 'down': 14.493909735219217, 'plane': 55.880096953333535}",0.4516608,31.7,0.65,6.803,,46.016735,96.82568,97.42125,77497.0,1561328.0,0.0,3395,1,2465.668,2480.834,2546.502,1.0,0.0,0.0
[],947581389623001088-1786193825000,1786193825000,1786203006000,632578958264631296,947581389623001088,,,1786193825000-632578958264631296-947581389623001088,,108.589,2.565,,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1975,7206,,0,0,,,,"{'up': 39.16569404757114, 'down': 23.0651587716827, 'plane': 37.76914718074615}",0.5586688,58.66,2.55,42.333,,42.579285,,,676927.0,4597669.0,108500.0,0,0,,,,,,
[],946027472992862208-1786193821000,1786193821000,1786194009000,632578958264631296,946027472992862208,,,1786193821000-632578958264631296-946027472992862208,,0.028,0.447,,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,,0,0,,,,,,,0.031157222,0.063,,0.5361702,,,,,,0,0,,,,,,
[],1500491887742550016-1786193817000,1786193817000,1786194522000,632578958264631296,1500491887742550016,,,1786193817000-632578958264631296-1500491887742550016,,0.25,0.599,,0.15,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322.831,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,705,0,,0,1,"{'fifth_gear_duration': 0, 'first_gear_duration': 49.40593354993241, 'sixth_gear_duration': 0, 'third_gear_duration': 25.495055375056324, 'eighth_gear_duration': 0, 'fourth_gear_duration': 0, 'second_gear_duration': 25.099011075011262, 'seventh_gear_duration': 0}",,,,,,0.2,0.417,,1.2765957,0.0,0.0,,,,0,0,0.0,0.0,84.334,0.0,1.0,0.0
[],1362128357327634432-1786193815000,1786193815000,1786197101000,632578958264631296,1362128357327634432,,,1786193815000-632578958264631296-1362128357327634432,,34.618,3.787,,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,1301,,0,0,,,,"{'up': 13.331753975539689, 'down': 43.593236400248756, 'plane': 43.075009624211546}",0.50127363,37.04,0.9,9.141,,37.925987,,,172833.0,1942737.0,0.0,0,0,,,,,,
[],1187402009754468352-1786193811000,1786193811000,1786197927000,632578958264631296,1187402009754468352,,,1786193811000-632578958264631296-1187402009754468352,,40.629,2.445,,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,2127,,0,0,"{'fifth_gear_duration': 2.0750407848598993, 'first_gear_duration': 2.2499029864505573, 'sixth_gear_duration': 3.9472134379223798, 'third_gear_duration': 1.7088933237051875, 'eighth_gear_duration': 75.44481446840632, 'fourth_gear_duration': 0.6948044662883861, 'second_gear_duration': 1.7323108697422083, 'seventh_gear_duration': 12.147019662625064}",,"{'MODE_HEAVY': 0, 'MODE_LIGHT': 100, 'MODE_TURBO': 0}","{'up': 37.93751770675045, 'down': 49.41149200298762, 'plane': 12.650990290261927}",0.71576333,43.86,1.1,16.615,,35.53557,75.44482,87.591835,327336.0,2219670.0,0.0,0,0,2696.581,3130.745,3574.243,2.0,0.0,0.0
